Recipient,Amount
0x3dc8e50bd5e99120d7245b979b30b4ab98f80853,327207.22
0x8deddd31abe3743997beaf9bff2efeb5a3a70e93,323475.61
0x33a62389fa5b38ed19147ce5ec4899353ca6cf3f,320944.85
0x9808a909a318495d6a5b661e722218b920cae612,319808.26
0x3eac405af43d057052ef79881f79cd1a4d80ef8c,319075.77
0x103b4438a2c712a09961ba6bdd9e6301633037bd,318415.37
0x732f09b4f5663c0ed98468a2867aa8b0e18cd569,314881.66
0x7af473ea98177df471407339ea5fa5ef6b0da0de,314843.23
0xe22e22e82046c9b28cda76cc96b416fc7eb8cc29,312418.2
0x67caed274c64a52c7ab2182a474730ef710bf906,311749.1
0x5bf220028dcd21261e8c560cbc0483768df4930f,307955.75
0x0b6bafa1055ad716d66a9fc0cd298ecf2b0b9d95,302475.67
0x5cc2c49c4b21a5ed2aaf8c83d22586647e538280,299885.01
0xabf02181ebc008a3b36cacd18a91c94f0ab6118a,299072.26
0x82393036ad82fc5725af1b4119626d3b7cb0b2f8,298058.3
0xcce59b8b6bbc9af905dbbf5a89563eaf47fd3d7f,297928.16
0x944b6cdc268450208e6052e665adc6fc4ee99fbd,296070.06
0xbdb39cfbd719265a0ffd2ecd73c4bff74ab9f79f,294292.4
0x8fdec337d0f757a9905e959c6fde7a06e7bc26f4,294074.22
0x26809510bb5f3d7b9a0bd9c032a209a16dc4ebe8,292859.61
0xf8647ef8fd18630674e47bf81a0d08707b8d2348,292843.93
0x9d4398a50d1fadfa11f4c80de1a916d3c9a06a1d,292250.51
0x537c55e2e057ee601429945030bd78107f463472,292197.67
0x0fa4438d7ac65f2acf9e836307499a0deb852f3f,292097.91
0x9b976932c041b07d11cd0550841f0ee94e10a57a,289312.82
0x0d3c16960f882f81c97f1609174e2ac397753de0,288291.89
0xb603b3b7f0780961b69f4f169496081f91c56ac6,287496.16
0xcf58aac38c286a0e19db872a1ab97839a76f1a7b,287272.71
0xd4cf431f3cf37f40caf4e2b601426ed5a2e56958,286207.07
0x2878ff03614639a7261032cdaaed0dd25f323f23,283851.44
